"Date","Sales","Tracked Sales","Anonymous Sales"
8/27/2017,$16655190.55,$16654351.36,$839.19
8/28/2017,$14480471.99,$14480143.71,$328.28
8/29/2017,$9720881.08,$9720765.13,$115.95
8/30/2017,$13270999.79,$13270549.87,$449.92
8/31/2017,$12488981.39,$12487498.15,$1483.24
9/1/2017,$12519185.25,$12517744.89,$1440.36
9/2/2017,$14463477.60,$14463046.64,$430.96
9/3/2017,$17229069.70,$17227439.87,$1629.83
9/4/2017,$25070219.24,$25069434.69,$784.55
9/5/2017,$10014211.60,$10014048.73,$162.87
9/6/2017,$7360016.37,$7360016.37,$0.00
9/7/2017,$11695783.48,$11695439.99,$343.49
9/8/2017,$11181813.06,$11181137.43,$675.63
9/9/2017,$11782626.90,$11781626.97,$999.93
9/10/2017,$14034659.84,$14034012.82,$647.02
9/11/2017,$11766664.56,$11766363.10,$301.46
9/12/2017,$13289171.36,$13288196.49,$974.87
9/13/2017,$10242590.93,$10242286.08,$304.85
9/14/2017,$8777652.45,$8777013.54,$638.91
9/15/2017,$15427887.56,$15427050.97,$836.59
9/16/2017,$21008654.83,$21007546.62,$1108.21
9/17/2017,$33042869.72,$33041824.14,$1045.58
9/18/2017,$22884722.47,$22880786.99,$3935.48
9/19/2017,$21193048.98,$21191207.75,$1841.23
9/20/2017,$19607048.67,$19606390.24,$658.43
9/21/2017,$18541901.25,$18540549.74,$1351.51
9/22/2017,$18234980.50,$18234505.57,$474.93
9/23/2017,$20630009.17,$20629497.82,$511.35
9/24/2017,$26598463.04,$26598463.04,$0.00
9/25/2017,$36158966.23,$36157218.60,$1747.63
9/26/2017,$11308992.79,$11308858.81,$133.98
9/27/2017,$10548880.53,$10548741.87,$138.66
9/28/2017,$9555723.48,$9554968.52,$754.96
9/29/2017,$9559583.57,$9559060.98,$522.59
9/30/2017,$10730438.34,$10730338.35,$99.99
10/1/2017,$13166792.55,$13166278.80,$513.75
10/2/2017,$13123457.22,$13123084.85,$372.37
10/3/2017,$11585841.60,$11585534.86,$306.74
10/4/2017,$18194468.07,$18192695.67,$1772.40
10/5/2017,$16664016.77,$16662071.03,$1945.74
10/6/2017,$16595902.58,$16593638.65,$2263.93
10/7/2017,$17562759.05,$17561813.58,$945.47
10/8/2017,$23754175.22,$23752120.22,$2055.00
10/9/2017,$27533326.98,$27532666.27,$660.71
10/10/2017,$12933427.10,$12933028.04,$399.06
10/11/2017,$12588430.49,$12587489.77,$940.72
10/12/2017,$12657931.42,$12656700.16,$1231.26
10/13/2017,$12180880.22,$12180721.11,$159.11
10/14/2017,$13973062.22,$13972152.69,$909.53
10/15/2017,$21635532.82,$21634150.94,$1381.88
10/16/2017,$9649110.87,$9648433.49,$677.38
10/17/2017,$11265378.37,$11264746.32,$632.05
10/18/2017,$12794488.84,$12793822.25,$666.59
10/19/2017,$10385081.98,$10384702.72,$379.26
10/20/2017,$19148560.85,$19147465.06,$1095.79
10/21/2017,$26184280.67,$26182601.43,$1679.24
10/22/2017,$18507987.89,$18506443.20,$1544.69
10/23/2017,$11262149.91,$11261899.41,$250.50
10/24/2017,$17347561.21,$17347408.33,$152.88
10/25/2017,$18252204.80,$18251804.17,$400.63
10/26/2017,$17497802.09,$17497041.28,$760.81
10/27/2017,$16399950.87,$16399505.26,$445.61
10/28/2017,$18042557.71,$18041260.22,$1297.49
10/29/2017,$24041611.48,$24040068.12,$1543.36
10/30/2017,$21635186.29,$21633715.09,$1471.20
10/31/2017,$11432448.60,$11431860.45,$588.15
11/1/2017,$15732556.19,$15730838.72,$1717.47
11/2/2017,$17598878.21,$17598818.92,$59.29
11/3/2017,$15773417.24,$15772971.39,$445.85
11/4/2017,$22704859.38,$22704501.02,$358.36
11/5/2017,$55064211.37,$55063067.58,$1143.79
11/6/2017,$20382917.24,$20382757.25,$159.99
11/7/2017,$15393892.98,$15393549.06,$343.92
11/8/2017,$17439826.49,$17438930.61,$895.88
11/9/2017,$17381503.93,$17380122.12,$1381.81
11/10/2017,$19902423.64,$19901613.26,$810.38
11/11/2017,$23459396.89,$23458330.14,$1066.75
11/12/2017,$32667443.87,$32665911.01,$1532.86
11/13/2017,$26941616.73,$26940936.81,$679.92
11/14/2017,$26920838.54,$26919877.15,$961.39
11/15/2017,$32157191.28,$32155494.91,$1696.37
11/16/2017,$25994381.68,$25993322.39,$1059.29
11/17/2017,$22049634.57,$22049426.61,$207.96
11/18/2017,$23808996.67,$23808520.05,$476.62
11/19/2017,$29926802.46,$29925366.31,$1436.15
11/20/2017,$25985892.53,$25984207.07,$1685.46
11/21/2017,$27457791.65,$27456623.08,$1168.57
11/22/2017,$56192574.11,$56190151.39,$2422.72
11/23/2017,$88840990.57,$88835844.63,$5145.94
